#  | name                | pts | record | opp. win % | # opp. beat | seat record | avg. seat
-- | ------------------- | --- | ------ | ---------- | ----------- | ----------- | ---------
1  | Miss Sharon Cabrera | 5   | W      | 33.33%     | 3           | 1/3         | 100.00%
2  | Michael Johnson     | 5   | W      | 33.33%     | 3           | 1/3         | 100.00%
3  | Jane Hendricks PhD  | 5   | W      | 33.33%     | 3           | 1/3         | 100.00%
4  | Suzanne Pena        | 5   | W      | 25.00%     | 4           | 1/4         | 100.00%
5  | Michael Richardson  | 1   | D      | 0.00%      | 0           | 4/4         | 0.00%
6  | Scott Garrett       | 1   | D      | 0.00%      | 0           | 3/4         | 25.93%
7  | Tara Pope           | 1   | D      | 0.00%      | 0           | 2/4         | 59.47%
8  | Sean Smith          | 1   | D      | 0.00%      | 0           | 1/4         | 100.00%
9  | Allison Green       | 0   | L      | 33.33%     | 0           | 3/3         | 0.00%
10 | Matthew Ramos       | 0   | L      | 33.33%     | 0           | 3/3         | 0.00%
11 | Benjamin Warren     | 0   | L      | 33.33%     | 0           | 3/3         | 0.00%
12 | Maurice Williams    | 0   | L      | 33.33%     | 0           | 2/3         | 45.28%
13 | Melissa Walker      | 0   | L      | 33.33%     | 0           | 2/3         | 45.28%
14 | Caitlin Joyce       | 0   | L      | 33.33%     | 0           | 2/3         | 45.28%
15 | Douglas Soto        | 0   | L      | 25.00%     | 0           | 4/4         | 0.00%
16 | Jorge Le            | 0   | L      | 25.00%     | 0           | 3/4         | 25.93%
17 | Sabrina Riley       | 0   | L      | 25.00%     | 0           | 2/4         | 59.47%
